#{"t_start": 1665129998.8329587, "env_id": null}
r,l,t,is_success
-14.888889,5,92.978168,
-28.0,10,93.59513,
-19.853277,9,93.994947,
-16.0,4,94.283473,
-14.0,3,94.498239,
-18.0,5,94.822791,
-5.9287763,8,95.205496,
-14.0,3,95.399813,
-14.0,3,95.669096,
-22.67094,16,96.393824,
-35.85328,12,96.853224,
-16.0,4,97.126828,
-30.964388,8,97.490664,
-11.297722,10,97.879383,
-22.482193,6,98.443743,
-24.482193,7,98.802894,
-21.371082,7,99.148203,
-50.964386,11,99.548942,
-22.482193,6,99.860217,
-27.631054,11,100.265198,
-29.14886,10,100.747004,
-20.964388,7,101.10272,
-39.371082,12,101.544644,
-32.0755,7,101.900803,
-32.482193,11,102.968537,
-58.74217,23,103.72477,
-53.0755,23,104.599397,
-27.371082,10,105.015921,
-22.482193,6,105.329733,
-27.371082,10,105.734627,
-22.482193,6,106.065357,
-24.482193,7,106.336641,
-22.482193,6,107.031608,
-152.33759,63,108.875326,
-122.74858,62,111.795048,
-70.855415,33,112.984358,
